EmployeeNumber,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Gender,HourlyRate,JobLevel,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,StockOptionLevel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,41,Travel_Rarely,1102,Sales,1,Female,94,2,Sales Executive,Single,5993,19479,Yes,11,3,80,0,6,4,0,5
2,49,Travel_Frequently,279,Research & Development,8,Male,61,2,Research Scientist,Married,5130,24907,No,23,4,80,1,10,7,1,7
4,37,Travel_Rarely,1373,Research & Development,2,Male,92,1,Technician,Single,2090,2396,Yes,15,3,80,0,0,0,0,0
5,33,Travel_Frequently,1392,Research & Development,3,Female,56,1,Research Scientist,Married,2909,23159,Yes,11,3,80,0,8,7,3,0
7,27,Travel_Rarely,591,Research & Development,2,Male,40,1,Technician,Married,3468,16632,No,12,3,80,1,2,2,2,2
8,32,Travel_Frequently,1005,Research & Development,2,Male,79,1,Technician,Single,3068,11864,No,13,3,80,0,7,7,3,6
10,59,Travel_Rarely,1324,Research & Development,3,Female,81,1,Technician,Married,2670,9964,Yes,20,4,80,3,1,0,0,0
11,30,Travel_Rarely,1358,Research & Development,24,Male,67,1,Technician,Divorced,2693,13335,No,22,4,80,1,1,0,0,0
12,38,Travel_Frequently,216,Research & Development,23,Male,44,3,Marketing Director,Single,9526,8787,No,21,4,80,0,9,7,1,8
13,36,Travel_Rarely,1299,Research & Development,27,Male,94,2,Brand Representative,Married,5237,16577,No,13,3,80,2,7,7,7,7
14,35,Travel_Rarely,809,Research & Development,16,Male,84,1,Technician,Married,2426,16479,No,13,3,80,1,5,4,0,3
15,29,Travel_Rarely,153,Research & Development,15,Female,49,2,Technician,Single,4193,12682,Yes,12,3,80,0,9,5,0,8
16,31,Travel_Rarely,670,Research & Development,26,Male,31,1,Research Scientist,Divorced,2911,15170,No,17,3,80,1,5,2,4,3
18,34,Travel_Rarely,1346,Research & Development,19,Male,93,1,Technician,Divorced,2661,8758,No,11,3,80,1,2,2,1,2
19,28,Travel_Rarely,103,Research & Development,24,Male,50,1,Technician,Single,2028,12947,Yes,14,3,80,0,4,2,0,3
20,29,Travel_Rarely,1389,Research & Development,21,Female,51,3,Marketing Director,Divorced,9980,10195,No,11,3,80,1,10,9,8,8
21,32,Travel_Rarely,334,Research & Development,5,Male,80,1,Research Scientist,Divorced,3298,15053,Yes,12,3,80,2,6,2,0,5
22,22,Non-Travel,1123,Research & Development,16,Male,96,1,Technician,Divorced,2935,7324,Yes,13,3,80,2,1,0,0,0
23,53,Travel_Rarely,1219,Sales,2,Female,78,4,Manager,Married,15427,22021,No,16,3,80,0,25,8,3,7
24,38,Travel_Rarely,371,Research & Development,2,Male,45,1,Research Scientist,Single,3944,4306,Yes,11,3,80,0,3,2,1,2
26,24,Non-Travel,673,Research & Development,11,Female,96,2,Marketing Director,Divorced,4011,8232,No,18,3,80,1,4,2,1,3
27,36,Travel_Rarely,1218,Sales,9,Male,82,1,Sales Representative,Single,3407,6986,No,23,4,80,0,5,3,0,3
28,34,Travel_Rarely,419,Research & Development,7,Female,53,3,Research Director,Single,11994,21293,No,11,3,80,0,12,6,2,11
30,21,Travel_Rarely,391,Research & Development,15,Male,96,1,Research Scientist,Single,1232,19281,No,14,3,80,0,0,0,0,0
31,34,Travel_Rarely,699,Research & Development,6,Male,83,1,Research Scientist,Single,2960,17102,No,11,3,80,0,4,2,1,3
32,53,Travel_Rarely,1282,Research & Development,5,Female,58,5,Manager,Divorced,19094,10735,No,11,3,80,1,14,13,4,8
33,32,Travel_Frequently,1125,Research & Development,16,Female,72,1,Research Scientist,Single,3919,4681,Yes,22,4,80,0,10,2,6,7
35,42,Travel_Rarely,691,Sales,8,Male,48,2,Sales Executive,Married,6825,21173,No,11,3,80,1,9,7,4,2
36,44,Travel_Rarely,477,Research & Development,7,Female,42,3,Brand Representative,Married,10248,2094,No,14,3,80,1,22,6,5,17
38,46,Travel_Rarely,705,Sales,2,Female,83,5,Manager,Single,18947,22822,No,12,3,80,0,2,2,2,1
39,33,Travel_Rarely,924,Research & Development,2,Male,78,1,Technician,Single,2496,6670,No,11,3,80,0,1,1,0,0
40,44,Travel_Rarely,1459,Research & Development,10,Male,41,2,Brand Representative,Married,6465,19121,Yes,13,3,80,0,4,2,1,3
41,30,Travel_Rarely,125,Research & Development,9,Male,83,1,Technician,Single,2206,16117,No,13,3,80,0,10,0,1,8
42,39,Travel_Rarely,895,Sales,5,Male,56,2,Sales Representative,Married,2086,3335,No,14,3,80,1,1,0,0,0
45,24,Travel_Rarely,813,Research & Development,1,Male,61,1,Research Scientist,Married,2293,3020,Yes,16,3,80,1,2,0,2,0
46,43,Travel_Rarely,1273,Research & Development,2,Female,72,1,Research Scientist,Divorced,2645,21923,No,12,3,80,2,5,3,1,4
47,50,Travel_Rarely,869,Sales,3,Male,86,1,Sales Representative,Married,2683,3810,Yes,14,3,80,0,3,2,0,2
49,35,Travel_Rarely,890,Sales,2,Female,97,1,Sales Representative,Married,2014,9687,No,13,3,80,0,2,2,2,2
51,36,Travel_Rarely,852,Research & Development,5,Female,82,1,Research Scientist,Married,3419,13072,Yes,14,3,80,1,1,1,0,0
52,33,Travel_Frequently,1141,Sales,1,Female,42,2,Sales Executive,Married,5376,3193,No,19,3,80,2,5,3,1,3
53,35,Travel_Rarely,464,Research & Development,4,Male,75,1,Technician,Divorced,1951,10910,No,12,3,80,1,1,0,0,0
54,27,Travel_Rarely,1240,Research & Development,2,Female,33,1,Technician,Divorced,2341,19715,No,13,3,80,1,1,0,0,0
55,26,Travel_Rarely,1357,Research & Development,25,Male,48,1,Technician,Single,2293,10558,No,12,3,80,0,1,0,0,1
56,27,Travel_Frequently,994,Sales,8,Male,37,3,Sales Executive,Single,8726,2975,No,15,3,80,0,9,8,1,7
57,30,Travel_Frequently,721,Research & Development,1,Female,58,2,Technician,Single,4011,10781,No,23,4,80,0,12,8,3,7
58,41,Travel_Rarely,1360,Research & Development,12,Female,49,5,Research Director,Married,19545,16280,No,12,3,80,0,22,15,15,8
60,34,Non-Travel,1065,Sales,23,Male,72,2,Sales Executive,Single,4568,10034,No,20,4,80,0,9,5,8,7
61,37,Travel_Rarely,408,Research & Development,19,Male,73,1,Research Scientist,Married,3022,10227,No,21,4,80,0,1,0,0,0
62,46,Travel_Frequently,1211,Sales,5,Male,98,2,Sales Executive,Single,5772,20445,Yes,21,4,80,0,9,6,0,8
63,35,Travel_Rarely,1229,Research & Development,8,Male,36,1,Technician,Married,2269,4892,No,19,3,80,0,1,0,0,1
64,48,Travel_Rarely,626,Research & Development,1,Male,98,3,Technician,Single,5381,19294,Yes,13,3,80,0,1,0,0,0
65,28,Travel_Rarely,1434,Research & Development,5,Male,50,1,Technician,Single,3441,11179,Yes,13,3,80,0,2,2,2,2
68,44,Travel_Rarely,1488,Sales,1,Female,75,2,Sales Executive,Divorced,5454,4009,Yes,21,4,80,1,4,3,1,3
70,35,Non-Travel,1097,Research & Development,11,Male,79,3,Brand Representative,Married,9884,8302,Yes,13,3,80,1,4,0,2,3
72,26,Travel_Rarely,1443,Sales,23,Female,47,2,Sales Executive,Married,4157,21436,Yes,19,3,80,1,2,2,0,0
73,33,Travel_Frequently,515,Research & Development,1,Female,98,3,Research Director,Single,13458,15146,Yes,12,3,80,0,15,14,8,12
