EmployeeNumber,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,RelationshipSatisfaction,TrainingTimesLastYear,WorkLifeBalance
1,2,3,4,1,0,1
2,3,2,2,4,3,3
4,4,2,3,2,3,3
5,4,3,3,3,3,3
7,1,3,2,4,3,3
8,4,3,4,3,2,2
10,3,4,1,1,3,2
11,4,3,3,2,2,3
12,4,2,3,2,2,3
13,3,3,3,2,3,2
14,1,4,2,3,5,3
15,4,2,3,4,3,3
16,1,3,3,4,1,2
18,2,3,4,3,2,3
19,3,2,3,2,4,3
20,2,4,1,3,1,3
21,1,4,2,4,5,2
22,4,4,4,2,2,2
23,1,2,4,3,3,3
24,4,3,4,3,3,3
26,1,4,3,4,5,2
27,3,2,1,2,4,3
28,1,3,2,3,4,3
30,3,3,4,4,6,3
31,2,3,1,3,2,3
32,3,3,3,4,3,2
33,2,1,1,2,5,3
35,3,3,2,4,2,3
36,1,2,4,4,4,3
38,2,3,1,4,2,2
39,3,3,4,4,3,3
40,4,3,4,4,5,4
41,4,2,3,1,5,3
42,4,3,4,3,6,4
45,2,3,4,1,2,2
46,4,4,3,4,3,2
47,1,2,3,3,2,3
49,4,3,4,1,3,3
51,2,2,1,4,3,4
52,3,4,1,1,3,3
53,3,3,4,3,3,3
54,4,3,1,4,6,3
55,1,1,3,3,2,2
56,4,3,3,4,0,3
57,3,3,4,4,2,3
58,2,3,3,4,0,3
60,2,3,3,3,2,3
61,2,3,2,1,1,3
62,1,3,4,3,4,3
63,4,4,4,4,2,3
64,1,2,3,4,2,3
65,3,3,3,3,3,2
68,2,3,1,3,2,2
70,3,2,1,3,3,3
72,3,2,4,3,2,2
73,1,3,4,3,1,3
74,2,3,1,4,3,2
75,3,3,1,3,3,3
76,4,3,4,4,3,2
77,1,2,3,3,2,4
78,1,3,4,2,3,3
79,4,3,4,4,2,3
80,2,2,3,4,2,2
81,1,3,1,4,3,2
83,3,3,3,2,2,3
84,4,3,3,3,2,3
85,2,2,2,3,3,3
86,2,3,1,3,2,3
88,2,3,1,4,2,2
90,4,2,3,1,0,2
91,1,2,3,4,2,2
94,3,3,2,4,3,3
95,3,3,2,2,4,3
96,2,3,2,2,3,3
97,2,4,4,2,3,3
98,3,3,4,4,2,3
100,3,2,1,2,2,3
101,4,3,1,2,3,4
102,1,3,3,1,3,4
103,2,3,2,4,2,3
104,4,2,4,3,1,2
105,2,2,3,1,3,3
106,1,3,4,4,4,3
107,2,1,4,4,3,3
110,1,3,2,3,2,3
112,4,1,4,1,3,2
113,3,3,1,3,3,3
116,4,3,4,2,4,3
117,3,2,4,1,3,3
118,3,2,4,4,3,3
119,3,2,2,4,3,2
120,3,3,4,4,2,1
121,3,2,2,2,4,2
124,3,2,1,3,5,2
125,2,3,3,1,0,3
126,1,3,3,1,5,1
128,1,3,3,1,2,2
129,2,3,3,2,3,4
131,4,3,3,3,1,2
132,2,3,2,3,3,4
133,3,3,1,4,3,3
134,4,3,1,4,2,3
137,4,2,4,2,5,3
138,1,3,3,3,3,3
139,3,2,4,4,2,4
140,3,2,4,4,3,3
141,1,3,2,1,1,2
142,3,2,3,4,1,3
143,4,2,4,3,2,3
144,2,3,4,3,5,3
145,1,2,1,3,1,2
147,1,1,3,4,3,3
148,4,4,4,3,3,3
150,2,3,3,3,2,3
151,3,2,2,3,3,3
152,3,3,4,1,3,3
153,3,2,1,4,6,3
154,2,3,4,3,6,3
155,1,3,4,1,2,3
158,3,3,4,4,3,4
159,1,1,3,3,2,2
160,3,3,2,1,2,4
161,2,3,2,1,2,3
162,1,3,3,3,5,3
163,2,1,3,2,3,2
164,3,2,2,3,3,2
165,4,3,4,4,3,2
167,4,3,3,4,2,2
169,3,3,4,3,2,3
170,3,3,1,3,2,2
171,2,4,3,4,2,3
174,3,3,4,4,3,3
175,2,1,3,3,2,3
176,3,3,3,3,2,3
177,3,3,3,4,3,3
178,2,3,2,4,0,3
179,1,1,4,4,2,3
182,4,2,3,3,1,4
183,1,2,3,4,3,3
184,3,3,4,4,2,1
190,1,3,1,1,2,4
192,3,3,4,2,2,2
193,4,3,3,2,2,3
194,1,3,3,3,4,2
195,4,1,4,4,2,4
197,4,3,1,4,3,3
198,2,2,4,4,3,3
199,4,2,1,2,2,2
200,3,3,1,4,2,3
201,2,3,2,4,3,3
202,2,3,2,1,2,3
204,3,3,2,1,3,3
205,2,3,3,4,3,1
206,2,3,2,3,2,1
207,2,3,4,4,2,3
208,4,3,3,1,1,3
211,2,2,3,3,2,3
214,2,2,2,2,3,2
215,3,2,4,1,2,2
216,3,3,3,4,3,3
217,3,3,4,1,6,3
218,4,3,2,4,1,1
221,3,3,4,3,2,1
223,3,4,4,2,2,1
224,3,2,3,4,2,2
226,3,3,2,2,5,3
227,1,3,3,1,2,3
228,2,3,4,3,2,3
230,1,2,4,3,2,4
231,3,3,3,1,2,3
233,3,3,2,4,3,2
235,3,1,1,1,5,4
238,4,3,2,3,3,2
239,3,3,1,3,4,3
240,3,3,1,1,3,4
241,3,3,1,3,3,3
242,3,3,4,1,2,4
243,2,2,4,3,3,2
244,2,3,1,3,2,3
245,3,3,4,3,3,3
246,3,3,4,3,0,3
247,4,3,2,4,3,3
248,2,3,2,4,5,2
249,3,2,3,4,2,2
250,4,4,1,3,3,3
252,4,3,2,4,5,3
253,4,3,3,2,2,3
254,3,4,2,4,3,3
256,4,2,3,3,2,2
258,4,3,2,3,6,3
259,3,2,3,1,5,3
260,4,3,2,4,2,2
261,2,2,3,1,1,3
262,4,4,4,4,3,4
264,1,2,4,4,1,3
267,2,4,1,1,3,2
269,2,3,2,4,5,3
270,3,3,3,2,5,3
271,4,3,3,2,3,3
273,4,3,4,1,3,1
274,3,2,1,3,1,3
275,4,3,4,1,0,3
277,4,3,3,4,4,4
281,3,3,4,3,2,4
282,2,3,1,2,2,3
283,2,3,4,4,3,2
284,4,4,2,1,2,2
286,2,3,4,1,2,3
287,4,2,4,4,5,1
288,4,3,1,3,3,3
291,4,1,4,3,2,2
292,3,2,3,3,2,3
293,4,3,3,4,2,3
296,2,2,2,4,5,1
297,4,3,1,3,5,3
298,4,3,4,3,3,3
299,3,2,1,3,5,2
300,3,3,3,4,1,2
302,4,2,4,4,2,3
303,4,3,1,4,4,3
304,4,3,2,4,3,4
305,3,2,2,4,3,3
306,2,3,4,3,1,3
307,1,3,3,3,6,2
308,3,1,3,4,2,3
309,3,2,4,1,6,3
311,1,3,4,3,2,3
312,2,3,4,4,5,3
314,3,3,3,1,3,4
315,3,2,4,3,3,2
316,3,2,4,2,3,2
319,3,3,4,4,3,3
321,2,3,3,4,2,2
323,4,3,4,3,3,2
325,3,3,4,3,2,1
327,4,3,4,3,3,3
328,1,3,1,1,3,4
329,1,2,3,4,2,4
330,3,3,2,1,5,3
331,4,2,3,4,2,1
332,3,3,3,3,1,3
333,3,3,4,1,2,3
334,3,3,1,1,2,2
335,1,3,4,1,3,3
336,3,4,4,3,2,3
337,2,3,3,1,3,3
338,3,2,4,3,2,2
339,4,2,1,2,3,3
340,3,2,1,1,2,2
341,1,4,3,4,1,3
342,1,3,3,2,5,3
343,3,3,3,4,1,3
346,3,3,4,1,1,3
347,4,4,1,3,1,3
349,4,3,4,4,2,3
350,1,3,3,4,3,3
351,4,2,1,3,4,3
352,1,3,3,4,5,3
353,3,3,4,2,0,2
355,3,2,2,2,2,4
359,2,4,2,3,3,1
361,4,2,4,4,0,3
362,4,2,1,4,5,3
363,3,1,2,2,2,2
364,1,3,3,3,5,1
366,1,2,2,2,2,3
367,2,2,4,2,2,3
369,2,4,1,4,2,3
372,3,3,4,2,2,3
373,4,3,4,3,4,3
374,4,3,1,3,2,3
376,1,3,2,4,2,2
377,4,3,4,4,3,2
378,3,3,4,2,5,4
379,4,2,3,1,4,4
380,1,3,4,1,2,3
381,2,4,2,2,6,2
